0,1,2,3,4,5,6,7,8,9,10,11
x,TSTH,Summit,X with Expert Pkg,850 E-TEC Turbo R,,3.0in 76mm Powdermax X-light,SHOT,,Terra Green Color,Terra Green,"26 870,00 €"
,,,,,3900mm,,,Touchscreen Display,,,
,,,,,165in,,,10.25 in. Color,,,
x,THTF,Summit,X with Expert Pkg,850 E-TEC,,3.0in 76mm Powdermax X-light,SHOT,,165 inch Track,Timeless Black (painted),"23 770,00 €"
,,,,,4200mm,,,Touchscreen Display,,,
,,,,,165in,,,10.25 in. Color,"165 inch Track, Monument Grey",,
x,THTG,Summit,X with Expert Pkg,850 E-TEC,,3.0in 76mm Powdermax X-light,SHOT,,,Monument Grey,"23 770,00 €"
,,,,,4200mm,,,Touchscreen Display,Color,,
,,,,,165in,,,10.25 in. Color,,,
x,TJTJ,Summit,X with Expert Pkg,850 E-TEC Turbo R,,3.0in 76mm Powdermax X-light,SHOT,,165 inch Track,Timeless Black (painted),"27 270,00 €"
,,,,,4200mm,,,Touchscreen Display,,,
,,,,,165in,,,10.25 in. Color,"165 inch Track, Terra Green",,
x,TJTH,Summit,X with Expert Pkg,850 E-TEC Turbo R,,3.0in 76mm Powdermax X-light,SHOT,,,Terra Green,"27 270,00 €"
,,,,,4200mm,,,Touchscreen Display,Color,,
,Utility,,,,,,,,,,
,,,,,154in,,,,,,
,AJTB,Skandic,Sport,600 EFI - 85 HP,,1.25 32mm Wide Track,Electric,4.5 in. Digital Display,,Neo Yellow,"12 880,00 €"
,,,,,3900mm,,,,,,
,,,,,154in,,,,,,
,AHTD,Skandic,LE,900 ACE,,1.5in 38mm Cobra Silent Track,Electric,4.5 in. Digital Display,,Black,"18 130,00 €"
,,,,,3900mm,,,,,,
,,,,,154in,,,,,,
,AHTC,Skandic,LE,900 ACE,,1.5in 38mm Cobra Silent Track,Electric,4.5 in. Digital Display,,Black,"18 990,00 €"
,,,,,3900mm,,,,,,
,,,,,154in,,,,,,
,GDTB,Tundra,LE,600 EFI - 85 HP,,1.5in 38mm Charger,Electric,4.5 in. Digital Display,,Black,"12 790,00 €"
,,,,,3900mm,,,,,,
,,,,,154in,,,,,,
,GNTB,Tundra,LE,600 ACE,,1.5in 38mm Charger,Electric,4.5 in. Digital Display,,Black,"14 250,00 €"
,,,,,3900mm,,,,,,
,,Paikkakuntakohtaiset toimitusmaksut lisätään hintoihin.,,,,,,,,,
,,"©2025 Bombardier Recreational Products Inc., (BRP). Kaikki oikeudet pidätetään. BRP tai sen tytäryhtiöt omistavat rekisteröidyt tavaramerkit ™, ® ja BRP-logon. ‡Kaikki muut tavaramerkit kuuluvat niiden vastaaville",,,,,,,,,
,,"omistajille. Koska olemme sitoutuneet jatkuvasti parantamaan ja kehittämään tuotteitamme, pidätämme itsellämme oikeuden muuttaa milloin tahansa tuotteidemme teknisiä ominaisuuksia, muotoilua, malleja tai",,,,,,,,,
