0,1,2,3,4,5,6,7,8,9,10,11
SKI-MY24-Pricelist-Spring-Media-FI,,,,,,,,,,,
,,S U O S I T U S H I N N A S T O,,,,,,,,,
,,M A L L I V U O S I   2 0 2 6   /   S U O M I,,,,,,,,,
,2025-02-19,,,,,,,,,*,KEVÄTENNAKKOMALLI
,Tuote-,,,,,,,,,,"Suositushinta,"
,,Malli,Paketti,Moottori,Telamatto,,Käynnistin,Mittaristo,Kevätoptiot,Väri,
,nro,,,,,,,,,,sis ALV:n
,Crossover,,,,,,,,,,
,,,,,146in,,,,,,
,UJTB,Backcountry,Adrenaline,600R E-TEC,,2.0in 51mm PowderMax,Electric,4.5 in. Digital Display,,Black,"17 700,00 €"
,,,,,3700mm,,,,,,
,,,,,146in,,,,,,
,UBTB,Backcountry,Sport,600 EFI - 85 HP,,2.0in 51mm PowderMax,Electric,4.5 in. Digital Display,,Neo Yellow,"13 940,00 €"
,,,,,3700mm,,,,,,
,,,,,146in,,,10.25 in. Color,,,
,UYTM,Backcountry,X-RS,850 E-TEC,,2.0in 51mm PowderMax,Electric,,,Black,"21 700,00 €"
,,,,,3700mm,,,Touchscreen Display,,,
,,,,,146in,,,10.25 in. Color,,,
x,UYTU,Backcountry,X-RS,850 E-TEC,,2.0in 51mm PowderMax,Electric,,Scandi Blue Color,Scandi Blue,"21 950,00 €"
,,,,,3700mm,,,Touchscreen Display,,,
,,,,,146in,,,10.25 in. Color,,,
,UYTW,Backcountry,X-RS,850 E-TEC,,1.5in 38mm Ice Storm,Electric,,,Black,"21 900,00 €"
,,,,,3700mm,,,Touchscreen Display,,,
,,,,,146in,,,10.25 in. Color,,,
x,UYTV,Backcountry,X-RS,850 E-TEC,,1.5in 38mm Ice Storm,Electric,,Scandi Blue Color,Scandi Blue,"22 150,00 €"
,,,,,3700mm,,,Touchscreen Display,,,
,,,,850 E-TEC Turbo R,146in,,,10.25 in. Color,,,
,UZTW,Backcountry,X-RS,,,2.0in 51mm PowderMax,SHOT,,,Scandi Blue,"25 700,00 €"
,,,,with WIS,3700mm,,,Touchscreen Display,,,
,,,,850 E-TEC Turbo R,146in,,,10.25 in. Color,,,
,UZT2,Backcountry,X-RS,,,1.5in 38mm Ice Storm,SHOT,,,Scandi Blue,"25 900,00 €"
,,,,with WIS,3700mm,,,Touchscreen Display,,,
,,,,,154in,,,10.25 in. Color,,,
,UZTH,Backcountry,X-RS,850 E-TEC,,2.5in 64mm PowderMax II,Electric,,,Black,"22 300,00 €"
,,,,,3900mm,,,Touchscreen Display,,,
,,,,,154in,,,10.25 in. Color,,,
x,UZT1,Backcountry,X-RS,850 E-TEC,,2.5in 64mm PowderMax II,Electric,,Scandi Blue Color,Scandi Blue,"22 550,00 €"
,,,,,3900mm,,,Touchscreen Display,,,
,,,,,154in,,,,,,
,KDTB,Expedition,Sport,900 ACE,,1.5in 38mm Charger,Electric,4.5 in. Digital Display,,Neo Yellow,"16 570,00 €"
,,,,,3900mm,,,,,,
,,,,,154in,,,,,,
,AATD,Expedition,"LE 20""",900 ACE,,1.5in 38mm Crosscut,Electric,4.5 in. Digital Display,,Black,"18 690,00 €"
,,,,,3900mm,,,,,,
,,,,,154in,,,,,,
,ACTE,Expedition,"LE 20""",900 ACE Turbo,,1.5in 38mm Crosscut,Electric,4.5 in. Digital Display,,Neo Yellow,"20 090,00 €"
,,,,,3900mm,,,,,,
,,,,,154in,,,,,,
,AATC,Expedition,"LE 24""",900 ACE,,1.5in 38mm Cobra Silent Track,Electric,4.5 in. Digital Display,,Black,"19 540,00 €"
,,,,,3900mm,,,,,,
,,,,,154in,,,,,,
,ACTF,Expedition,"LE 24""",900 ACE Turbo,,1.5in 38mm Cobra Silent Track,Electric,4.5 in. Digital Display,,Neo Yellow,"20 940,00 €"
,,,,,3900mm,,,,,,
,,,,,154in,,,10.25 in. Color,,,
x,AYTG,Expedition,SE,900 ACE Turbo R,,1.5in 38mm Ice Crosscut,Electric,,Studded Track,Black,"24 860,00 €"
,,,,,3900mm,,,Touchscreen Display,,,
,,,,,154in,,,10.25 in. Color,,,
x,AYTS,Expedition,SE,900 ACE Turbo R,,1.5in 38mm Ice Crosscut,Electric,,Terra Green Color,Terra Green,"25 110,00 €"
,,,,,3900mm,,,Touchscreen Display,,,
,,,,,154in,,,10.25 in. Color,,,
,AYTP,Expedition,SE,900 ACE Turbo R,,1.8in 46mm Cobra SilentD80,Electric,,,Black,"24 560,00 €"
,,,,,3900mm,,,Touchscreen Display,,,
