0,1,2,3,4,5,6,7,8,9,10,11
,,,,,154in,,,10.25 in. Color,,,
x,AYTR,Expedition,SE,900 ACE Turbo R,,1.8in 46mm Cobra SilentD80,Electric,,Terra Green Color,Terra Green,"24 810,00 €"
,,,,,3900mm,,,Touchscreen Display,,,
,,,,,154in,,,,,,
,ADTD,Expedition,Xtreme,850 E-TEC,,1.8in 46mm Cobra SilentD80,Electric,4.5 in. Digital Display,,Black,"21 070,00 €"
,,,,,3900mm,,,,,,
,,,,,154in,,,,,,
x,ADTC,Expedition,Xtreme,850 E-TEC,,1.8in 46mm Cobra SilentD80,Electric,4.5 in. Digital Display,Scandi Blue Color,Scandi Blue,"21 320,00 €"
,,,,,3900mm,,,,,,
,,,,,154in,,,,,,
,APTD,Expedition,Xtreme,900 ACE Turbo R,,1.8in 46mm Cobra SilentD80,Electric,4.5 in. Digital Display,,Black,"22 420,00 €"
,,,,,3900mm,,,,,,
,,,,,154in,,,,,,
x,APTC,Expedition,Xtreme,900 ACE Turbo R,,1.8in 46mm Cobra SilentD80,Electric,4.5 in. Digital Display,Scandi Blue Color,Scandi Blue,"22 670,00 €"
,,,,,3900mm,,,,,,
